Selection Menu	Title	Dry Fragrance	Wet Aroma	Brightness	Flavor	Body	Finish	Sweetness	Clean Cup	Complexity	Uniformity	Cupper Correction	Score
Ecuador	Ecuador Puyango Loja	8.4	8	8.5	8.5	7.5	8	8.5	8	7	9	5	86.4
El Salvador	El Salvador Finca Kilimanjaro 2 Lb Set	8.8	8.7	9.2	9	8	9	9	8.5	8	9	5	92.2
El Salvador	El Salvador Finca El Manzano	8.4	8.2	8.4	8.5	8.7	8.4	8.5	8	7.8	8.3	3.5	86.7
El Salvador	El Salvador La Montańita Pacamara	8.8	8.7	8.7	9	8.3	8.8	8.8	8	8.7	8	4	89.8
El Salvador	El Salvador Manzano Process Experiment - 3 lb set	8.6	8.5	7.8	8.6	9.2	8.6	8.5	7.3	8.4	8	4	87.5
El Salvador	El Salvador La Divina Providencia	8.5	8.8	8.6	8.8	7.7	8.7	8.7	8.8	7.5	8	3	87.1
El Salvador	El Salvador Finca Matalapa Peaberry	8.5	8.6	8.7	8.7	7.5	8.3	8.5	8	8	8	5	87.8
El Salvador	El Salvador Santa Ana Naranjo	8	8.2	8.4	8.6	8.8	8.5	8.4	8.3	7.5	8.5	4	87.2
El Salvador	El Salvador Manzano Dry-Process	8.6	8.5	7.8	8.6	9.2	8.6	8.5	7.5	8.4	8	4	87.7
El Salvador	El Salvador Finca Matalapa Peaberry 2010	8.4	8.6	8.7	8.7	7.5	8.3	8.5	8	8	8	5	87.7
El Salvador	El Salvador Finca Siberia Pacamara	8.6	8.7	8.7	8.7	7.5	8.8	8	8.5	7	8.5	5	88
El Salvador	El Salvador Finca Siberia Bourbon	8	8.3	8.5	8.5	8	8.5	8	8.4	7	8.4	5	86.6
El Salvador	El Salvador Molino de Santa Rita	8.2	8.5	8.4	8.5	8.8	8.5	7	8	7.5	8	4	85.4
El Salvador	El Salvador Finca El Majahual	8.4	8.6	8.5	8.5	8.7	8.5	7.5	8.3	7.5	8	4	86.5
El Salvador	El Salvador Siberia Estate Bourbon 2010	8	8.3	8.5	8.5	8	8.5	8	8.5	7	8.5	5	86.8
El Salvador	El Salvador FInca Matalapa "Las Matalapitas"	8.3	8.6	8.7	8.6	8	8.5	8.7	8	7.5	9	4	87.9
El Salvador	El Salvador La Montańita Pacamara SHRUB	9	9	8.7	9.2	8	9.2	9	7	9	8	5	91.1
El Salvador	El Salvador Finca La Florida	8.4	8.6	8.6	8.5	7.5	8.4	8	8	7.5	8	5	86.5
El Salvador	El Salvador Cup of Excellence La Pinera Pacamara	8.7	8.8	8.7	8.8	8.6	8.7	8	8	8.5	8	5	89.8
El Salvador	El Salvador Finca Kilimanjaro	8.8	8.7	9.2	9	8	9	9	8.5	8	9	5	92.2
El Salvador	El Salvador Manzano Process Experiment - 3 lb set	7	7	8.5	9	9	8.4	8.5	10	8	10	4.5	89.9
El Salvador	El Salvador Peaberry "Aida's Grand Reserve" 2010	9	9	9.2	9.2	8.8	9.4	9.2	8	8.5	8.5	5	93.8
El Salvador	El Salvador Siberia Estate Pacamara 2010	8.5	8.8	8.7	8.7	7.5	8.8	8	8.5	7	8.5	5	88
El Salvador	El Salvador Matalapa -Tablon El Amate	8.3	8.5	8.6	8.5	8.3	8.5	8.8	8	7	9	4	87.5
El Salvador	El Salvador Finca San Gabriel Bourbon	8.4	8.5	8.7	8.5	7.8	8.4	8	8.5	7	8	5	86.8
El Salvador	El Salvador Finca Matalapa 2009	7.5	8	8.7	8.5	8.5	8.5	8.5	8.5	7	9	4	86.7
El Salvador	El Salvador Matalapa -Puerta Zapa Microlot	7.5	8	8.5	8.6	8.7	8.5	8.2	8	7.2	9	4	86.2
El Salvador	El Salvador Cup of Excellence La Montańita Pacamara	8.5	8.8	8.8	8.7	8.4	9	8	7.5	9	8	5	89.7
El Salvador	El Salvador Los Luchadores Pacamara	8.4	8	7.5	9.2	8.8	8.8	9	7.5	8	8	6	89.2
El Salvador	El Salvador Cup of Excellence -Villa Espana Bourbon	8.5	8.8	8.8	8.7	8.4	9	8	7.5	8	8	5	88.7
El Salvador	El Salvador Matalapa "El Mirador"	8.6	8.6	8.8	8.6	8.5	8.5	8	8.4	7.5	8.5	4	88
El Salvador	El Salvador Peaberry "Aida's Grand Reserve" 2009	9	9.2	8.7	9.4	8.7	9.4	8.5	7.5	9	8.5	5	92.9
El Salvador	El Salvador Finca Kilimanjaro 2009	8.9	8.7	9.3	9	7.5	9	9	9	8	8	6	92.4
El Salvador	El Salvador Siberia Estate Pacamara 2009	8.6	8.9	8.7	8.7	7.8	8.8	8	8.5	7	8.5	5	88.5
El Salvador	El Salvador Finca Matalapa Peaberry 2009	8.4	8.6	8.8	8.6	7	8.5	8	9	7	9	5	87.9
El Salvador	El Salvador La Montańita Pacamara	8.5	8.8	8.8	8.7	8	9	8	7	9	8	5	88.8
